| HEAD_UUID   | SORT_INDEX | ID     | TYPE | MIN_VALUE | MAX_VALUE | VALUE | DESCRIPTION | UNIT | LANGUAGE | GROUP_DESCRIPTION | TOLERANCE | OBLIGATORY | ALWAYS_VISIBLE | INTERNAL_ID |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| [B@20231384 | 2          | Q_Brix | MIN  | 4         | null      | null  | Brix        | BRIX | DEU      | dynamic           | 0         | TRUE       | TRUE           | 0000000002  |
| [B@3ba97962 | 2          | Q_Brix | MIN  | 4         | null      | null  | Brix        | BRIX | DEU      | dynamic           | 0         | TRUE       | TRUE           | 0000000002  |
| [B@35becbd4 | 2          | Q_Brix | MIN  | 4         | null      | null  | Brix        | BRIX | DEU      | dynamic           | 0         | TRUE       | TRUE           | 0000000002  |
| [B@3bcc8f13 | 2          | Q_Brix | MIN  | 12        | null      | null  | Brix        | BRIX | DEU      | dynamic           | 0         | TRUE       | TRUE           | 0000000002  |
| [B@3cb04dd  | 2          | Q_Brix | MIN  | 12        | null      | null  | Brix        | BRIX | DEU      | dynamic           | 0         | TRUE       | TRUE           | 0000000002  |
| [B@73d91faf | 2          | Q_Brix | MIN  | 12        | null      | null  | Brix        | BRIX | DEU      | dynamic           | 0         | TRUE       | TRUE           | 0000000002  |
| [B@30fa8a6b | 2          | Q_Brix | MIN  | 12        | null      | null  | Brix        | BRIX | DEU      | dynamic           | 0         | TRUE       | TRUE           | 0000000002  |
| [B@6f112f70 | 2          | Q_Brix | MIN  | 8         | null      | null  | Brix        | BRIX | DEU      | dynamic           | 0         | TRUE       | TRUE           | 0000000002  |
| [B@342723a3 | 2          | Q_Brix | MIN  | 8         | null      | null  | Brix        | BRIX | DEU      | dynamic           | 0         | TRUE       | TRUE           | 0000000002  |
| [B@f3876ef  | 2          | Q_Brix | MIN  | 8         | null      | null  | Brix        | BRIX | DEU      | dynamic           | 0         | TRUE       | TRUE           | 0000000002  |
| [B@6b751cb1 | 2          | Q_Brix | MIN  | 8         | null      | null  | Brix        | BRIX | DEU      | dynamic           | 0         | TRUE       | TRUE           | 0000000002  |
| [B@df9d400  | 2          | Q_Brix | MIN  | 8         | null      | null  | Brix        | BRIX | DEU      | dynamic           | 0         | TRUE       | TRUE           | 0000000002  |
| [B@4ec427   | 2          | Q_Brix | MIN  | 8         | null      | null  | Brix        | BRIX | DEU      | dynamic           | 0         | TRUE       | TRUE           | 0000000002  |
| [B@4c8d45cf | 2          | Q_Brix | MIN  | 8         | null      | null  | Brix        | BRIX | DEU      | dynamic           | 0         | TRUE       | TRUE           | 0000000002  |
| [B@fde487b  | 2          | Q_Brix | MIN  | 8         | null      | null  | Brix        | BRIX | DEU      | dynamic           | 0         | TRUE       | TRUE           | 0000000002  |
| [B@4cc4d454 | 2          | Q_Brix | MIN  | 8         | null      | null  | Brix        | BRIX | DEU      | dynamic           | 0         | TRUE       | TRUE           | 0000000002  |
| [B@3add5e17 | 2          | Q_Brix | MIN  | 8         | null      | null  | Brix        | BRIX | DEU      | dynamic           | 0         | TRUE       | TRUE           | 0000000002  |
| [B@1c58d7be | 2          | Q_Brix | MIN  | 4         | null      | null  | Brix        | BRIX | DEU      | dynamic           | 0         | TRUE       | TRUE           | 0000000002  |
