| HEAD_UUID   | SORT_INDEX | ID     | TYPE | MIN_VALUE | MAX_VALUE | VALUE | DESCRIPTION | UNIT | LANGUAGE | GROUP_DESCRIPTION | TOLERANCE | OBLIGATORY | ALWAYS_VISIBLE | INTERNAL_ID |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| [B@246de37e | 2          | Q_Brix | MIN  | 4         | null      | null  | Brix        | BRIX | DEU      | dynamic           | 0         | TRUE       | TRUE           | 0000000002  |
| [B@19647566 | 2          | Q_Brix | MIN  | 4         | null      | null  | Brix        | BRIX | DEU      | dynamic           | 0         | TRUE       | TRUE           | 0000000002  |
| [B@7b79ff1c | 2          | Q_Brix | MIN  | 4         | null      | null  | Brix        | BRIX | DEU      | dynamic           | 0         | TRUE       | TRUE           | 0000000002  |
| [B@527d48db | 2          | Q_Brix | MIN  | 12        | null      | null  | Brix        | BRIX | DEU      | dynamic           | 0         | TRUE       | TRUE           | 0000000002  |
| [B@194037f9 | 2          | Q_Brix | MIN  | 12        | null      | null  | Brix        | BRIX | DEU      | dynamic           | 0         | TRUE       | TRUE           | 0000000002  |
| [B@2335aef2 | 2          | Q_Brix | MIN  | 12        | null      | null  | Brix        | BRIX | DEU      | dynamic           | 0         | TRUE       | TRUE           | 0000000002  |
| [B@17003497 | 2          | Q_Brix | MIN  | 12        | null      | null  | Brix        | BRIX | DEU      | dynamic           | 0         | TRUE       | TRUE           | 0000000002  |
| [B@2f038d3c | 2          | Q_Brix | MIN  | 8         | null      | null  | Brix        | BRIX | DEU      | dynamic           | 0         | TRUE       | TRUE           | 0000000002  |
| [B@376498da | 2          | Q_Brix | MIN  | 8         | null      | null  | Brix        | BRIX | DEU      | dynamic           | 0         | TRUE       | TRUE           | 0000000002  |
| [B@39a8e2fa | 2          | Q_Brix | MIN  | 8         | null      | null  | Brix        | BRIX | DEU      | dynamic           | 0         | TRUE       | TRUE           | 0000000002  |
| [B@2f9addd4 | 2          | Q_Brix | MIN  | 8         | null      | null  | Brix        | BRIX | DEU      | dynamic           | 0         | TRUE       | TRUE           | 0000000002  |
| [B@1c43df76 | 2          | Q_Brix | MIN  | 8         | null      | null  | Brix        | BRIX | DEU      | dynamic           | 0         | TRUE       | TRUE           | 0000000002  |
| [B@ff2266c  | 2          | Q_Brix | MIN  | 8         | null      | null  | Brix        | BRIX | DEU      | dynamic           | 0         | TRUE       | TRUE           | 0000000002  |
| [B@71b3ba5a | 2          | Q_Brix | MIN  | 8         | null      | null  | Brix        | BRIX | DEU      | dynamic           | 0         | TRUE       | TRUE           | 0000000002  |
| [B@83ebdc5  | 2          | Q_Brix | MIN  | 8         | null      | null  | Brix        | BRIX | DEU      | dynamic           | 0         | TRUE       | TRUE           | 0000000002  |
| [B@a047bdb  | 2          | Q_Brix | MIN  | 8         | null      | null  | Brix        | BRIX | DEU      | dynamic           | 0         | TRUE       | TRUE           | 0000000002  |
| [B@14dbfdb1 | 2          | Q_Brix | MIN  | 8         | null      | null  | Brix        | BRIX | DEU      | dynamic           | 0         | TRUE       | TRUE           | 0000000002  |
| [B@7856f41a | 2          | Q_Brix | MIN  | 4         | null      | null  | Brix        | BRIX | DEU      | dynamic           | 0         | TRUE       | TRUE           | 0000000002  |
| [B@5fbae40  | 2          | Q_Brix | MIN  | 14        | null      | null  | Brix        | BRIX | DEU      | dynamic           | 0         | TRUE       | TRUE           | 0000000002  |
| [B@2c08c787 | 2          | Q_Brix | MIN  | 14        | null      | null  | Brix        | BRIX | DEU      | dynamic           | 0         | TRUE       | TRUE           | 0000000002  |
| [B@67f591c2 | 2          | Q_Brix | MIN  | 14        | null      | null  | Brix        | BRIX | DEU      | dynamic           | 0         | TRUE       | TRUE           | 0000000002  |
| [B@284c4f02 | 2          | Q_Brix | MIN  | 14        | null      | null  | Brix        | BRIX | DEU      | dynamic           | 0         | TRUE       | TRUE           | 0000000002  |
| [B@709d6de5 | 2          | Q_Brix | MIN  | 14        | null      | null  | Brix        | BRIX | DEU      | dynamic           | 0         | TRUE       | TRUE           | 0000000002  |
| [B@1a43a88e | 2          | Q_Brix | MIN  | 14        | null      | null  | Brix        | BRIX | DEU      | dynamic           | 0         | TRUE       | TRUE           | 0000000002  |
| [B@51f34185 | 2          | Q_Brix | MIN  | 14        | null      | null  | Brix        | BRIX | DEU      | dynamic           | 0         | TRUE       | TRUE           | 0000000002  |
| [B@1b8d20e6 | 2          | Q_Brix | MIN  | 14        | null      | null  | Brix        | BRIX | DEU      | dynamic           | 0         | TRUE       | TRUE           | 0000000002  |
| [B@e49437   | 2          | Q_Brix | MIN  | 8         | null      | null  | Brix        | BRIX | DEU      | dynamic           | 0         | TRUE       | TRUE           | 0000000002  |
| [B@7645b7d  | 2          | Q_Brix | MIN  | 8         | null      | null  | Brix        | BRIX | DEU      | dynamic           | 0         | TRUE       | TRUE           | 0000000002  |
