| VERSION | HEAD_UUID   | ITEM_NUMBER | SUPPLIER_ID | BUNDLE_UNIT | LAST_RUN_TIMESTAMP         | WAREHOUSE_ID | BEZ                           | QUALITY_CLASS | WAGR | STATUS | ARTNR_A | ARTICLE_UUID |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| 1.0.0   | [B@64c95480 | EK-89015    | 552949      | 1           | 2025-03-22 09:37:03.721446 | OG           | MANDARINEN 1KG                | 1             | 1111 | 0      | 1163283 | [B@69499c6f  |
| 1.0.0   | [B@3451fc88 | EK-89015    | 999999      | 1           | 2025-03-22 09:37:03.721446 | OG           | MANDARINEN 1KG                | 1             | 1111 | 0      | 1163283 | [B@1e0294a7  |
| 1.0.0   | [B@3041beb3 | EK-89040    | 552949      | 1           | 2025-03-22 09:37:03.721446 | OG           | ORANGEN 2KG                   | 1             | 1111 | 0      | 1163307 | [B@15cee630  |
| 1.0.0   | [B@2e40fdbd | EK-89040    | 999999      | 1           | 2025-03-22 09:37:03.721446 | OG           | ORANGEN 2KG                   | 1             | 1111 | 0      | 1163307 | [B@246de37e  |
| 1.0.0   | [B@19647566 | EK-89045    | 552949      | 1           | 2025-03-22 09:37:03.721446 | OG           | ORANGEN GELEGT                | 1             | 1111 | 0      | 1163312 | [B@7b79ff1c  |
| 1.0.0   | [B@527d48db | EK-532640   | 552949      | 1           | 2025-03-22 09:37:03.721446 | OG           | BILLA IMMER GUT ORANGEN 1,5KG | 1             | 1111 | 0      | 3443644 | [B@194037f9  |
| 1.0.0   | [B@2335aef2 | EK-534552   | 999999      | 1           | 2025-03-22 09:37:03.721446 | OG           | CLEVER ZITRONEN 1KG           | 1             | 1111 | 0      | 3452211 | [B@17003497  |
| 1.0.0   | [B@2f038d3c | EK-89032    | 377540      | 1           | 2025-03-22 09:37:03.721446 | OG           | PE ZITRONEN 1KG NETZ          | 1             | 1111 | 0      | 1163299 | [B@376498da  |
| 1.0.0   | [B@39a8e2fa | EK-89046    | 552949      | 1           | 2025-03-22 09:37:03.721446 | OG           | ORANGEN 1KG                   | 1             | 1111 | 0      | 1163313 | [B@2f9addd4  |
| 1.0.0   | [B@1c43df76 | EK-89046    | 552979      | 1           | 2025-03-22 09:37:03.721446 | OG           | ORANGEN 1KG                   | 1             | 1111 | 0      | 1163313 | [B@ff2266c   |
| 1.0.0   | [B@71b3ba5a | EK-89046    | 999999      | 1           | 2025-03-22 09:37:03.721446 | OG           | ORANGEN 1KG                   | 1             | 1111 | 0      | 1163313 | [B@83ebdc5   |
| 1.0.0   | [B@a047bdb  | EK-368529   | null        | 1           | 2025-03-22 09:37:03.721446 | OG           | CLEMENTINEN GELEGT            | 1             | 1111 | 0      | 2430717 | [B@14dbfdb1  |
